Código,Provincia,Nombre,Área (km2),Pop. (2008)
101,1,San José,44.62,352366
102,1,Escazú,34.49,60201
103,1,Desamparados,118.26,221346
104,1,Puriscal,553.66,32767
105,1,Tarrazú,297.5,16419
106,1,Aserrí,167.1,56422
107,1,Mora,162.04,24333
108,1,Goicoechea,31.5,131529
109,1,Santa Ana,61.42,39905
110,1,Alajuelita,21.17,81721
111,1,Vázquez de Coronado,222.2,63098
112,1,Acosta,342.24,20906
113,1,Tibás,8.15,81478
114,1,Moravia,28.62,55895
115,1,Montes de Oca,15.16,55814
116,1,Turrubares,415.29,5482
117,1,Dota,400.22,7465
118,1,Curridabat,15.95,69474
119,1,Pérez Zeledón,1905.51,140872
120,1,León Cortés Castro,120.8,13288
201,2,Alajuela,388.43,255598
202,2,San Ramón,1018.64,77380
203,2,Grecia,395.72,74860
204,2,San Mateo,125.9,5904
205,2,Atenas,127.19,25033
206,2,Naranjo,126.62,42637
207,2,Palmares,38.06,33401
208,2,Poás,73.84,28469
209,2,Orotina,141.92,17866
210,2,San Carlos,3347.98,151322
211,2,Zarcero,155.13,12368
212,2,Valverde Vega,120.25,18407
213,2,Upala,1580.67,44556
214,2,Los Chiles,1358.86,23902
215,2,Guatuso,758.32,15068
301,3,Cartago,287.77,149657
302,3,Paraíso,411.91,60005
303,3,La Unión,44.83,91090
304,3,Jiménez,286.43,15859
305,3,Turrialba,1642.67,78217
306,3,Alvarado,81.06,13862
307,3,Oreamuno,202.31,44403
308,3,El Guarco,167.69,39223
401,4,Heredia,282.6,118872
402,4,Barva,53.8,37041
403,4,Santo Domingo,24.84,38959
404,4,Santa Bárbara,53.21,33334
405,4,San Rafael,48.39,42398
406,4,San Isidro,26.96,18028
407,4,Belén,12.15,22400
408,4,Flores,6.96,17298
409,4,San Pablo,7.53,23370
410,4,Sarapiquí,2140.54,54537
501,5,Liberia,1436.47,55921
502,5,Nicoya,1333.68,47823
503,5,Santa Cruz,1312.27,46460
504,5,Bagaces,1273.49,18368
505,5,Carrillo,577.54,32168
506,5,Cañas,682.2,27970
507,5,Abangares,675.76,18319
508,5,Tilarán,638.39,20337
509,5,Nandayure,565.59,11185
510,5,La Cruz,1383.9,19978
511,5,Hojancha,261.42,7289
601,6,Puntarenas,1842.33,118928
602,6,Esparza,216.8,27199
603,6,Buenos Aires,2384.22,47576
604,6,Montes de Oro,244.76,12495
605,6,Osa,1930.24,29547
606,6,Quepos,543.77,23915
607,6,Golfito,1753.96,39699
608,6,Coto Brus,933.91,47247
609,6,Parrita,478.79,13940
610,6,Corredores,620.6,44180
611,6,Garabito,316.31,13165
701,7,Limón,1765.79,106356
702,7,Pococí,2403.49,121735
703,7,Siquirres,860.19,60881
704,7,Talamanca,2809.93,32158
705,7,Matina,772.64,39961
706,7,Guácimo,576.48,41082
