ID_2,Código
11408,403
11409,410
11410,706
11411,701
11412,705
11413,702
11414,703
11415,704
11416,606
11417,603
11418,610
11419,608
11420,602
11366,201
11367,211
11368,205
11369,203
11370,215
11371,214
11372,206
11373,209
11374,207
11375,208
11376,210
11377,204
11378,202
11379,213
11380,212
11381,306
11382,301
11383,308
11384,304
11385,303
11386,307
11387,302
11388,305
11389,507
11390,504
11391,506
11392,505
11393,511
11394,510
11395,501
11396,509
11397,502
11398,503
11399,508
11400,402
11401,407
11402,408
11403,401
11404,406
11405,409
11406,405
11407,404
11421,611
11422,607
11423,604
11424,605
11425,609
11426,601
11427,112
11428,110
11429,106
11430,118
11431,103
11432,117
11433,102
11434,108
11435,120
11436,115
11437,107
11438,114
11439,119
11440,104
11441,101
11442,109
11443,105
11444,113
11445,116
11446,111
